"type","title","attendance","speaker","time","room","url","concurrent_sessions","concurrent_attendance","expected","attendance_ratio","id"
"Talk","A restricted composite likelihood approach to modelling Gaussian geostatistical data",42,"Kathy Chenjerai Mutambanengwe",2017-07-05 11:18:00,"2.01","https://user2017.sched.com/event/Axoy",6,832,161,0.26,"53"
"Talk","Adaptive Subgroup Selection in Sequential Trials",39,"Balasubramanian Narasimhan",2017-07-05 11:18:00,"3.01","https://user2017.sched.com/event/Axp0",6,832,161,0.24,"54"
"Talk","bradio: Add data music widgets to your business intelligence dashboards",74,"Thomas Levine",2017-07-05 11:18:00,"4.02","https://user2017.sched.com/event/Axox",6,832,161,0.46,"55"
"Talk","Ensemble packages with user friendly interface: an added value for the R community",105,NA,2017-07-05 11:18:00,"3.02","https://user2017.sched.com/event/AxsL",6,832,161,0.65,"56"
"Talk","When is an Outlier an Outlier? The O3 plot",276,"Antony Unwin",2017-07-05 11:18:00,"PLENARY","https://user2017.sched.com/event/Axov",6,832,161,1.71,"57"
"Talk","Collaborative Development in R: A Case Study with the sparsebn package",81,"Bryon Aragam",2017-07-05 11:36:00,"3.02","https://user2017.sched.com/event/AxsR",6,930,161,0.5,"58"
"Talk","Curve Linear Regression with **clr**",97,"Amandine Pierrot",2017-07-05 11:36:00,"2.01","https://user2017.sched.com/event/Axp4",6,930,161,0.6,"59"
"Talk","Distributional Trees and Forests",176,"Lisa Schlosser",2017-07-05 11:36:00,"2.02","https://user2017.sched.com/event/Axp5",6,930,161,1.09,"60"
"Talk","EpiModel: An R Package for Mathematical Modeling of Infectious Disease over Networks",83,"Samuel Jenness",2017-07-05 11:36:00,"3.01","https://user2017.sched.com/event/Axp6",6,930,161,0.52,"61"
"Talk","Interacting with databases from Shiny",310,"Barbara Borges Ribeiro",2017-07-05 11:36:00,"4.02","https://user2017.sched.com/event/Axp3",6,930,161,1.93,"62"
"Talk","Sports Betting and R: How R is changing the sports betting world",183,"Marco Blume",2017-07-05 11:36:00,"PLENARY","https://user2017.sched.com/event/Axp1",6,930,161,1.14,"63"
"Talk","ICAOD: An R Package to Find Optimal Designs for Nonlinear Models with Imperialist Competitive Algorithm",72,"Ehsan Masoudi",2017-07-05 11:54:00,"2.01","https://user2017.sched.com/event/AxpA",6,732,161,0.45,"64"
"Talk","metawRite: Review, write and update meta-analysis results",104,"Natalia da silva",2017-07-05 11:54:00,"3.01","https://user2017.sched.com/event/AxpC",6,732,161,0.65,"65"
"Talk","mlrHyperopt: Effortless and collaborative hyperparameter optimization experiments",110,"Jakob Richter",2017-07-05 11:54:00,"2.02","https://user2017.sched.com/event/AxpB",6,732,161,0.68,"66"
"Talk","RL10N: Translating Error Messages & Warnings",74,"Richard Cotton",2017-07-05 11:54:00,"3.02","https://user2017.sched.com/event/AxsX",6,732,161,0.46,"67"
"Talk","ShinyProxy",305,"Tobias Verbeke",2017-07-05 11:54:00,"4.02","https://user2017.sched.com/event/Axp9",6,732,161,1.89,"68"
"Talk","Urban green spaces and their biophonic soundscape component",67,"Paul Devos",2017-07-05 11:54:00,"PLENARY","https://user2017.sched.com/event/Axp7",6,732,161,0.42,"69"
"Talk","**addhaz**: Contribution of chronic diseases to the disability burden in *R*",51,"Renata Yokota",2017-07-05 12:12:00,"3.01","https://user2017.sched.com/event/AxpI",6,835,161,0.32,"70"
"Talk","Developing and deploying large scale Shiny applications for non-life insurance",200,"Herman Sontrop",2017-07-05 12:12:00,"4.02","https://user2017.sched.com/event/AxpF",6,835,161,1.24,"71"
"Talk","Maps are data, so why plot data on a map?",260,"Mark Padgham",2017-07-05 12:12:00,"PLENARY","https://user2017.sched.com/event/AxpD",6,835,161,1.61,"72"
"Talk","Maximum growth rate estimation with **growthrates**",54,"Thomas Petzoldt",2017-07-05 12:12:00,"2.01","https://user2017.sched.com/event/AxpG",6,835,161,0.34,"73"
